County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,TXST_Market_Share
ANDERSON,1229.0,0.0,0.0,41.0,0.0,23.0,0.0,0.0,0.0,0.0
ANDREWS,562.0,5.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,0.8896797153024912
ANGELINA,3378.0,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,1.4801657785671996
ARANSAS,471.0,34.0,0.0,29.0,0.0,5.0,29.0,0.0,0.0,7.218683651804671
ARCHER,506.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0
ARMSTRONG COU,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATASCOSA,1345.0,43.0,0.0,57.0,41.0,0.0,103.0,0.0,0.0,3.197026022304833
AUSTIN,1228.0,41.0,0.0,130.0,11.0,0.0,7.0,0.0,0.0,3.3387622149837135
BAILEY,177.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
BANDERA,315.0,23.0,0.0,12.0,12.0,0.0,22.0,0.0,0.0,7.301587301587302
BASTROP,2282.0,365.0,167.0,165.0,24.0,0.0,50.0,10.0,5.0,15.994741454864153
BAYLOR,132.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
BEE,801.0,12.0,0.0,29.0,0.0,0.0,7.0,0.0,0.0,1.4981273408239701
BELL,10585.0,546.0,330.0,527.0,203.0,65.0,345.0,210.0,74.0,5.158242796410014
BEXAR,66194.0,2601.0,2290.0,2224.0,1293.0,20.0,9126.0,461.0,285.0,3.929359156419011
BLANCO,410.0,52.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,12.682926829268293
BOSQUE,440.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
BOWIE,2300.0,10.0,30.0,22.0,5.0,19.0,0.0,40.0,0.0,0.43478260869565216
BRAZORIA,15009.0,577.0,511.0,967.0,172.0,177.0,292.0,119.0,1370.0,3.844360050636285
BRAZOS,5170.0,117.0,172.0,1212.0,29.0,41.0,31.0,56.0,11.0,2.263056092843327
BREWSTER,208.0,9.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.326923076923077
BROOKS,224.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
