County,Total_All_Schools,TXST,UT Austin,Texas A&M,Texas Tech,Stephen F. Austin,UTSA,UNT,UH,Has_Data,Dominant_School,Dominant_Enrollment,Dominant_Share,TXST_Market_Share,Is_Viable_Market,Market_Size_Score,Growth_Potential,Breakable_Market,Opportunity_Score,Opportunity_Category
ANDERSON,1229.0,0.0,0.0,41.0,0.0,23.0,0.0,0.0,0.0,True,Texas A&M,41.0,3.336045565500407,0.0,True,59.83678910454822,100.0,96.66395443449959,79.25118543917402,🔥 TOP PRIORITY
ANDREWS,562.0,5.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,True,Texas Tech,53.0,9.430604982206406,0.8896797153024912,True,53.26428638332552,94.77,90.5693950177936,73.17702219522148,🎯 HIGH OPPORTUNITY
ANGELINA,3378.0,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,True,Stephen F. Austin,505.0,14.949674363528716,1.4801657785671996,True,68.33587026479658,91.29,85.05032563647129,78.56500025969255,🔥 TOP PRIORITY
ARANSAS,471.0,34.0,0.0,29.0,0.0,5.0,29.0,0.0,0.0,True,TXST,34.0,7.218683651804671,7.218683651804671,False,51.78155887626199,57.54,92.78131634819533,0.0,⭐ TXST Territory
ARCHER,506.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,True,Texas Tech,58.0,11.462450592885377,0.0,True,52.38315901336949,100.0,88.53754940711462,73.89908938810767,🎯 HIGH OPPORTUNITY
ARMSTRONG COU,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,24.76338488635713,100.0,100.0,0.0,⚫ Small Market
ATASCOSA,1345.0,43.0,0.0,57.0,41.0,0.0,103.0,0.0,0.0,True,UTSA,103.0,7.657992565055761,3.197026022304833,True,60.59474404374969,81.19,92.34200743494424,73.1227735088637,🎯 HIGH OPPORTUNITY
AUSTIN,1228.0,41.0,0.0,130.0,11.0,0.0,7.0,0.0,0.0,True,Texas A&M,130.0,10.586319218241044,3.3387622149837135,True,59.82994874483944,80.36,89.41368078175896,71.90571052877152,🎯 HIGH OPPORTUNITY
BAILEY,177.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,True,Texas Tech,16.0,9.03954802259887,0.0,False,43.579948968751765,100.0,90.96045197740114,0.0,⚫ Small Market
BANDERA,315.0,23.0,0.0,12.0,12.0,0.0,22.0,0.0,0.0,True,TXST,23.0,7.301587301587302,7.301587301587302,False,48.407068630118474,57.05,92.6984126984127,0.0,⭐ TXST Territory
BASTROP,2282.0,365.0,167.0,165.0,24.0,0.0,50.0,10.0,5.0,True,TXST,365.0,15.994741454864153,15.994741454864153,True,65.03831110807272,5.91,84.00525854513585,0.0,⭐ TXST Territory
BAYLOR,132.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,True,Texas Tech,5.0,3.787878787878788,0.0,False,41.12892083948017,100.0,96.21212121212122,0.0,⚫ Small Market
BEE,801.0,12.0,0.0,29.0,0.0,0.0,7.0,0.0,0.0,True,Texas A&M,29.0,3.620474406991261,1.49812734082397,True,56.240066581495185,91.19,96.37952559300874,74.75293840934934,🎯 HIGH OPPORTUNITY
BELL,10585.0,546.0,330.0,527.0,203.0,65.0,345.0,210.0,74.0,True,TXST,546.0,5.158242796410014,5.158242796410014,True,77.93994462550481,69.66,94.84175720358999,0.0,⭐ TXST Territory
BEXAR,66194.0,2601.0,2290.0,2224.0,1293.0,20.0,9126.0,461.0,285.0,True,UTSA,9126.0,13.786748043629332,3.929359156419011,True,93.35649141027818,76.89,86.21325195637067,86.98789609641324,🔥 TOP PRIORITY
BLANCO,410.0,52.0,0.0,16.0,6.0,0.0,0.0,0.0,0.0,True,TXST,52.0,12.682926829268292,12.682926829268292,False,50.61770384767169,25.39,87.3170731707317,0.0,⭐ TXST Territory
BOSQUE,440.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,5.0,1.1363636363636365,0.0,False,51.210217942325144,100.0,98.86363636363636,0.0,⚫ Small Market
BOWIE,2300.0,10.0,30.0,22.0,5.0,19.0,0.0,40.0,0.0,True,UNT,40.0,1.7391304347826086,0.4347826086956521,True,65.104360309835,97.44,98.26086956521739,81.43635406796098,🔥 TOP PRIORITY
BRAZORIA,15009.0,577.0,511.0,967.0,172.0,177.0,292.0,119.0,1370.0,True,UH,1370.0,9.127856619361715,3.844360050636285,True,80.87666180326617,77.39,90.87214338063828,81.82975957776074,🔥 TOP PRIORITY
BRAZOS,5170.0,117.0,172.0,1212.0,29.0,41.0,31.0,56.0,11.0,True,Texas A&M,1212.0,23.44294003868472,2.263056092843327,True,71.91430429951751,86.69,76.55705996131528,77.2755641420218,🔥 TOP PRIORITY
BREWSTER,208.0,9.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,True,Texas Tech,16.0,7.6923076923076925,4.326923076923077,False,44.930215979692484,74.55,92.3076923076923,0.0,⚫ Small Market
BROOKS,224.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,True,UTSA,6.0,2.6785714285714284,0.0,False,45.5506056644145,100.0,97.32142857142857,0.0,⚫ Small Market
BROWN,1051.0,16.0,0.0,41.0,21.0,0.0,0.0,0.0,0.0,True,Texas A&M,41.0,3.9010466222645097,1.5223596574690772,True,58.52209435967488,91.04,96.09895337773548,75.79283785538455,🔥 TOP PRIORITY
BURLESON,409.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,57.0,13.93643031784841,0.0,False,50.59721608650869,100.0,86.0635696821516,0.0,⚫ Small Market
BURNET,1068.0,62.0,49.0,96.0,69.0,0.0,36.0,5.0,0.0,True,Texas A&M,96.0,8.98876404494382,5.805243445692884,True,58.65691456930385,65.85,91.01123595505618,67.28570447566317,🎯 HIGH OPPORTUNITY
CALDWELL,773.0,185.0,39.0,39.0,0.0,0.0,28.0,0.0,0.0,True,TXST,185.0,23.93272962483829,23.93272962483829,True,55.941194764240066,0.0,76.06727037516171,0.0,⭐ TXST Territory
CALHOUN,591.0,23.0,15.0,41.0,0.0,0.0,0.0,0.0,0.0,True,Texas A&M,41.0,6.937394247038917,3.8917089678511,True,53.68670665031004,77.11,93.06260575296108,68.58887447574723,🎯 HIGH OPPORTUNITY
