County_Name,College_Ready_Rate,TSI_Ready_Rate,Participation_Rate,Year,County
Anderson County,13.328571428571427,37.9,64.15714285714286,2024,ANDERSON
Andrews County,17.2,33.6,47.1,2024,ANDREWS
Angelina County,16.083333333333332,33.68571428571429,50.628571428571426,2024,ANGELINA
Aransas County,7.2,19.3,94.8,2024,ARANSAS
Archer County,20.566666666666666,35.9,85.2,2024,ARCHER
Armstrong County,13.6,36.4,100.0,2024,ARMSTRONG
Atascosa County,8.125,21.975,58.779999999999994,2024,ATASCOSA
Austin County,18.433333333333334,37.63333333333333,69.10000000000001,2024,AUSTIN
Bailey County,11.7,16.9,92.8,2024,BAILEY
Bandera County,25.85,29.4,59.449999999999996,2024,BANDERA
Bastrop County,6.725,18.15,89.675,2024,BASTROP
Baylor County,21.2,24.2,71.7,2024,BAYLOR
Bee County,17.566666666666666,21.233333333333334,37.266666666666666,2024,BEE
Bell County,16.333333333333332,30.410000000000004,65.075,2024,BELL
Bexar County,14.876923076923077,24.875999999999998,83.08965517241379,2024,BEXAR
Blanco County,15.05,31.5,97.2,2024,BLANCO
Borden County,20.0,30.0,90.9,2024,BORDEN
Bosque County,21.3,29.18,86.08571428571429,2024,BOSQUE
Bowie County,16.555555555555557,20.077777777777776,87.76666666666667,2024,BOWIE
Brazoria County,16.7,28.599999999999998,62.51428571428572,2024,BRAZORIA
Brazos County,29.65,43.75,63.7,2024,BRAZOS
Brewster County,17.85,28.6,62.166666666666664,2024,BREWSTER
Briscoe County,,10.0,95.2,2024,BRISCOE
Brooks County,,9.5,25.0,2024,BROOKS
Brown County,20.75,29.7,63.4,2024,BROWN
Burleson County,8.950000000000001,16.400000000000002,67.76666666666667,2024,BURLESON
Burnet County,10.1,20.5,85.9,2024,BURNET
Caldwell County,4.2,12.8,70.39999999999999,2024,CALDWELL
Calhoun County,12.0,22.0,42.0,2024,CALHOUN
Callahan County,19.766666666666666,23.55,80.125,2024,CALLAHAN
Cameron County,16.07,27.610000000000003,63.67999999999999,2024,CAMERON
Camp County,8.4,25.3,64.6,2024,CAMP
Carson County,13.5,19.266666666666666,93.66666666666667,2024,CARSON
Cass County,17.914285714285715,18.514285714285712,67.08571428571429,2024,CASS
Castro County,20.65,26.8,81.7,2024,CASTRO
Chambers County,9.4,27.36666666666667,67.76666666666667,2024,CHAMBERS
Cherokee County,7.8,13.14,72.24,2024,CHEROKEE
Childress County,14.1,20.3,95.5,2024,CHILDRESS
Clay County,20.05,25.575,77.575,2024,CLAY
Cochran County,6.5,9.7,96.45,2024,COCHRAN
Coke County,15.25,21.5,95.0,2024,COKE
Coleman County,12.633333333333335,21.433333333333334,80.89999999999999,2024,COLEMAN
Collin County,30.573333333333334,45.10666666666667,84.38000000000001,2024,COLLIN
Collingsworth County,25.9,29.6,71.1,2024,COLLINGSWORTH
Colorado County,6.333333333333333,19.466666666666665,72.06666666666666,2024,COLORADO
Comal County,19.6,36.55,86.25,2024,COMAL
Comanche County,13.6,24.53333333333333,65.0,2024,COMANCHE
Concho County,18.8,20.5,62.35,2024,CONCHO
Cooke County,14.316666666666668,34.11666666666667,66.95,2024,COOKE
Coryell County,22.599999999999998,35.025,58.35999999999999,2024,CORYELL
Cottle County,75.0,75.0,33.3,2024,COTTLE
Crane County,8.7,17.4,56.1,2024,CRANE
Crockett County,22.2,33.3,26.5,2024,CROCKETT
Crosby County,5.0,5.0,78.7,2024,CROSBY
Culberson County,,7.1,100.0,2024,CULBERSON
Dallam County,15.95,24.0,59.5,2024,DALLAM
Dallas County,15.56,22.328125,78.83142857142857,2024,DALLAS
Dawson County,37.03333333333334,40.900000000000006,57.875,2024,DAWSON
DeWitt County,10.45,19.2,71.2,2024,DEWITT
Deaf Smith County,6.7,10.5,39.0,2024,DEAF SMITH
Delta County,14.45,18.9,91.65,2024,DELTA
Denton County,27.914285714285715,40.535714285714285,78.80000000000001,2024,DENTON
Dickens County,9.1,9.1,100.0,2024,DICKENS
Dimmit County,10.9,19.6,41.4,2024,DIMMIT
Donley County,17.1,19.1,87.9,2024,DONLEY
Duval County,8.0,10.55,76.33333333333333,2024,DUVAL
Eastland County,25.266666666666666,47.26666666666667,55.2,2024,EASTLAND
Ector County,39.166666666666664,45.36666666666667,90.6,2024,ECTOR
Edwards County,7.7,25.9,95.85,2024,EDWARDS
El Paso County,7.56,16.06,80.08333333333333,2024,EL PASO
Ellis County,12.02727272727273,21.69,69.22727272727273,2024,ELLIS
Erath County,11.166666666666666,22.466666666666665,65.31666666666666,2024,ERATH
Falls County,5.85,8.25,62.53333333333333,2024,FALLS
Fannin County,11.4,23.849999999999998,56.625,2024,FANNIN
Fayette County,15.5,40.339999999999996,65.62,2024,FAYETTE
Fisher County,8.7,26.1,84.8,2024,FISHER
Floyd County,9.1,10.35,48.8,2024,FLOYD
Foard County,11.1,22.2,64.3,2024,FOARD
Fort Bend County,18.625,31.9,91.275,2024,FORT BEND
Franklin County,28.6,42.9,40.8,2024,FRANKLIN
Freestone County,17.633333333333333,23.13333333333333,56.43333333333334,2024,FREESTONE
Frio County,10.95,10.8,25.299999999999997,2024,FRIO
Gaines County,11.25,32.1,46.0,2024,GAINES
Galveston County,17.1125,27.48888888888889,69.55555555555556,2024,GALVESTON
Garza County,,33.3,53.65,2024,GARZA
Gillespie County,26.950000000000003,45.0,63.65,2024,GILLESPIE
Glasscock County,19.0,57.1,100.0,2024,GLASSCOCK
Goliad County,4.8,23.8,64.3,2024,GOLIAD
Gonzales County,12.233333333333334,12.966666666666667,63.666666666666664,2024,GONZALES
