County_Name,Avg_Participation_Rate,Avg_College_Ready_Rate,Avg_TSI_Ready_Rate,Num_Districts,County,College_Ready_Category
Anderson County,64.15714285714286,13.328571428571427,37.9,7,ANDERSON,Low (10-20%)
Andrews County,47.1,17.2,33.6,1,ANDREWS,Low (10-20%)
Angelina County,50.628571428571426,16.083333333333332,33.68571428571429,7,ANGELINA,Low (10-20%)
Aransas County,94.8,7.2,19.3,1,ARANSAS,Very Low (<10%)
Archer County,85.2,20.566666666666666,35.9,3,ARCHER,Moderate (20-30%)
Armstrong County,100.0,13.6,36.4,1,ARMSTRONG,Low (10-20%)
Atascosa County,58.779999999999994,8.125,21.975,5,ATASCOSA,Very Low (<10%)
Austin County,69.10000000000001,18.433333333333334,37.63333333333333,3,AUSTIN,Low (10-20%)
Bailey County,92.8,11.7,16.9,1,BAILEY,Low (10-20%)
Bandera County,59.449999999999996,25.85,29.4,2,BANDERA,Moderate (20-30%)
Bastrop County,89.675,6.725,18.15,4,BASTROP,Very Low (<10%)
Baylor County,71.7,21.2,24.2,1,BAYLOR,Moderate (20-30%)
Bee County,37.266666666666666,17.566666666666666,21.233333333333334,3,BEE,Low (10-20%)
Bell County,65.075,16.333333333333332,30.410000000000004,12,BELL,Low (10-20%)
Bexar County,83.08965517241379,14.876923076923077,24.875999999999998,32,BEXAR,Low (10-20%)
Blanco County,97.2,15.05,31.5,2,BLANCO,Low (10-20%)
Borden County,90.9,20.0,30.0,1,BORDEN,Moderate (20-30%)
Bosque County,86.08571428571429,21.3,29.18,7,BOSQUE,Moderate (20-30%)
Bowie County,87.76666666666667,16.555555555555557,20.077777777777776,9,BOWIE,Low (10-20%)
Brazoria County,62.51428571428572,16.7,28.599999999999998,7,BRAZORIA,Low (10-20%)
Brazos County,63.7,29.65,43.75,2,BRAZOS,Moderate (20-30%)
Brewster County,62.166666666666664,17.85,28.6,3,BREWSTER,Low (10-20%)
Briscoe County,95.2,,10.0,1,BRISCOE,No Data
Brooks County,25.0,,9.5,1,BROOKS,No Data
Brown County,63.4,20.75,29.7,6,BROWN,Moderate (20-30%)
Burleson County,67.76666666666667,8.950000000000001,16.400000000000002,3,BURLESON,Very Low (<10%)
Burnet County,85.9,10.1,20.5,2,BURNET,Low (10-20%)
Caldwell County,70.39999999999999,4.2,12.8,3,CALDWELL,Very Low (<10%)
Calhoun County,42.0,12.0,22.0,1,CALHOUN,Low (10-20%)
Callahan County,80.125,19.766666666666666,23.55,4,CALLAHAN,Low (10-20%)
Cameron County,63.67999999999999,16.07,27.610000000000003,11,CAMERON,Low (10-20%)
Camp County,64.6,8.4,25.3,1,CAMP,Very Low (<10%)
Carson County,93.66666666666667,13.5,19.266666666666666,3,CARSON,Low (10-20%)
Cass County,67.08571428571429,17.914285714285715,18.514285714285712,7,CASS,Low (10-20%)
Castro County,81.7,20.65,26.8,3,CASTRO,Moderate (20-30%)
Chambers County,67.76666666666667,9.4,27.36666666666667,3,CHAMBERS,Very Low (<10%)
Cherokee County,72.24,7.8,13.14,5,CHEROKEE,Very Low (<10%)
Childress County,95.5,14.1,20.3,1,CHILDRESS,Low (10-20%)
Clay County,77.575,20.05,25.575,4,CLAY,Moderate (20-30%)
Cochran County,96.45,6.5,9.7,2,COCHRAN,Very Low (<10%)
Coke County,95.0,15.25,21.5,2,COKE,Low (10-20%)
Coleman County,80.89999999999999,12.633333333333335,21.433333333333334,3,COLEMAN,Low (10-20%)
Collin County,84.38000000000001,30.573333333333334,45.10666666666667,15,COLLIN,High (30-40%)
Collingsworth County,71.1,25.9,29.6,1,COLLINGSWORTH,Moderate (20-30%)
Colorado County,72.06666666666666,6.333333333333333,19.466666666666665,3,COLORADO,Very Low (<10%)
Comal County,86.25,19.6,36.55,2,COMAL,Low (10-20%)
Comanche County,65.0,13.6,24.53333333333333,4,COMANCHE,Low (10-20%)
Concho County,62.35,18.8,20.5,2,CONCHO,Low (10-20%)
Cooke County,66.95,14.316666666666668,34.11666666666667,6,COOKE,Low (10-20%)
Coryell County,58.35999999999999,22.599999999999998,35.025,5,CORYELL,Moderate (20-30%)
Cottle County,33.3,75.0,75.0,1,COTTLE,Very High (40%+)
Crane County,56.1,8.7,17.4,1,CRANE,Very Low (<10%)
Crockett County,26.5,22.2,33.3,1,CROCKETT,Moderate (20-30%)
Crosby County,78.7,5.0,5.0,3,CROSBY,Very Low (<10%)
Culberson County,100.0,,7.1,1,CULBERSON,No Data
Dallam County,59.5,15.95,24.0,2,DALLAM,Low (10-20%)
Dallas County,78.83142857142857,15.56,22.328125,35,DALLAS,Low (10-20%)
Dawson County,57.875,37.03333333333334,40.900000000000006,4,DAWSON,High (30-40%)
DeWitt County,71.2,10.45,19.2,4,DEWITT,Low (10-20%)
Deaf Smith County,39.0,6.7,10.5,1,DEAF SMITH,Very Low (<10%)
Delta County,91.65,14.45,18.9,2,DELTA,Low (10-20%)
Denton County,78.80000000000001,27.914285714285715,40.535714285714285,14,DENTON,Moderate (20-30%)
Dickens County,100.0,9.1,9.1,2,DICKENS,Very Low (<10%)
Dimmit County,41.4,10.9,19.6,1,DIMMIT,Low (10-20%)
Donley County,87.9,17.1,19.1,2,DONLEY,Low (10-20%)
Duval County,76.33333333333333,8.0,10.55,3,DUVAL,Very Low (<10%)
Eastland County,55.2,25.266666666666666,47.26666666666667,4,EASTLAND,Moderate (20-30%)
Ector County,90.6,39.166666666666664,45.36666666666667,3,ECTOR,High (30-40%)
Edwards County,95.85,7.7,25.9,2,EDWARDS,Very Low (<10%)
El Paso County,80.08333333333333,7.56,16.06,12,EL PASO,Very Low (<10%)
Ellis County,69.22727272727273,12.02727272727273,21.69,11,ELLIS,Low (10-20%)
Erath County,65.31666666666666,11.166666666666666,22.466666666666665,6,ERATH,Low (10-20%)
Falls County,62.53333333333333,5.85,8.25,3,FALLS,Very Low (<10%)
Fannin County,56.625,11.4,23.849999999999998,8,FANNIN,Low (10-20%)
Fayette County,65.62,15.5,40.339999999999996,5,FAYETTE,Low (10-20%)
Fisher County,84.8,8.7,26.1,2,FISHER,Very Low (<10%)
Floyd County,48.8,9.1,10.35,2,FLOYD,Very Low (<10%)
Foard County,64.3,11.1,22.2,1,FOARD,Low (10-20%)
Fort Bend County,91.275,18.625,31.9,4,FORT BEND,Low (10-20%)
Franklin County,40.8,28.6,42.9,1,FRANKLIN,Moderate (20-30%)
Freestone County,56.43333333333334,17.633333333333333,23.13333333333333,3,FREESTONE,Low (10-20%)
Frio County,25.299999999999997,10.95,10.8,2,FRIO,Low (10-20%)
Gaines County,46.0,11.25,32.1,2,GAINES,Low (10-20%)
Galveston County,69.55555555555556,17.1125,27.48888888888889,9,GALVESTON,Low (10-20%)
Garza County,53.65,,33.3,2,GARZA,No Data
Gillespie County,63.65,26.950000000000003,45.0,2,GILLESPIE,Moderate (20-30%)
Glasscock County,100.0,19.0,57.1,1,GLASSCOCK,Low (10-20%)
Goliad County,64.3,4.8,23.8,1,GOLIAD,Very Low (<10%)
Gonzales County,63.666666666666664,12.233333333333334,12.966666666666667,3,GONZALES,Low (10-20%)
Gray County,87.60000000000001,8.1,14.15,3,GRAY,Very Low (<10%)
Grayson County,65.16153846153847,19.323076923076922,31.93076923076923,13,GRAYSON,Low (10-20%)
Gregg County,46.0125,25.8,34.34285714285714,8,GREGG,Moderate (20-30%)
Grimes County,83.2,8.9,27.733333333333334,4,GRIMES,Very Low (<10%)
Guadalupe County,66.075,13.525,34.225,4,GUADALUPE,Low (10-20%)
Hale County,77.06,7.3,11.525,5,HALE,Very Low (<10%)
Hall County,47.45,33.3,22.9,2,HALL,High (30-40%)
Hamilton County,61.35,25.4,32.7,2,HAMILTON,Moderate (20-30%)
Hansford County,68.46666666666667,22.0,29.0,3,HANSFORD,Moderate (20-30%)
Hardeman County,29.799999999999997,20.0,20.0,2,HARDEMAN,Moderate (20-30%)
Hardin County,58.620000000000005,18.04,27.9,5,HARDIN,Low (10-20%)
Harris County,82.34848484848484,14.39375,26.821875,33,HARRIS,Low (10-20%)
Harrison County,59.1,18.240000000000002,24.96,5,HARRISON,Low (10-20%)
Hartley County,65.65,22.5,32.5,2,HARTLEY,Moderate (20-30%)
Haskell County,93.76666666666667,16.05,17.95,3,HASKELL,Low (10-20%)
Hays County,68.03999999999999,34.2,45.72,5,HAYS,High (30-40%)
Hemphill County,100.0,35.6,47.9,1,HEMPHILL,High (30-40%)
Henderson County,64.02857142857142,8.620000000000001,15.799999999999999,7,HENDERSON,Very Low (<10%)
Hidalgo County,76.57777777777778,7.44375,11.411764705882353,18,HIDALGO,Very Low (<10%)
Hill County,59.05,15.73,27.339999999999996,10,HILL,Low (10-20%)
Hockley County,80.36,21.75,33.82,5,HOCKLEY,Moderate (20-30%)
Hood County,38.0,19.0,41.86666666666667,3,HOOD,Low (10-20%)
Hopkins County,63.41428571428572,13.085714285714285,27.37142857142857,7,HOPKINS,Low (10-20%)
Houston County,63.64,20.55,28.8,5,HOUSTON,Moderate (20-30%)
Howard County,40.25,24.85,27.633333333333336,3,HOWARD,Moderate (20-30%)
Hudspeth County,74.36666666666666,3.7,18.5,3,HUDSPETH,Very Low (<10%)
Hunt County,58.25,17.58,27.79,10,HUNT,Low (10-20%)
Hutchinson County,73.53333333333333,7.033333333333334,13.633333333333335,3,HUTCHINSON,Very Low (<10%)
Irion County,100.0,13.0,26.1,1,IRION,Low (10-20%)
Jack County,75.23333333333333,18.7,36.849999999999994,3,JACK,Low (10-20%)
Jackson County,58.9,15.666666666666666,38.93333333333334,3,JACKSON,Low (10-20%)
Jasper County,75.11999999999999,7.966666666666666,15.7,5,JASPER,Very Low (<10%)
Jeff Davis County,88.2,13.3,20.0,1,JEFF DAVIS,Low (10-20%)
Jefferson County,66.875,19.099999999999998,29.5875,9,JEFFERSON,Low (10-20%)
Jim Hogg County,95.1,1.3,6.4,1,JIM HOGG,Very Low (<10%)
Jim Wells County,44.675,12.466666666666667,13.466666666666667,4,JIM WELLS,Low (10-20%)
Johnson County,62.0,12.6125,23.644444444444442,9,JOHNSON,Low (10-20%)
Jones County,71.44000000000001,10.0,14.475,5,JONES,Low (10-20%)
Karnes County,69.575,16.025,30.375,4,KARNES,Low (10-20%)
Kaufman County,65.74285714285715,8.428571428571429,17.757142857142856,7,KAUFMAN,Very Low (<10%)
Kendall County,75.5,26.5,40.3,2,KENDALL,Moderate (20-30%)
Kent County,100.0,20.0,20.0,1,KENT,Moderate (20-30%)
Kerr County,87.66666666666667,19.35,23.46666666666667,3,KERR,Low (10-20%)
Kimble County,58.3,14.3,28.6,1,KIMBLE,Low (10-20%)
King County,100.0,14.3,28.6,1,KING,Low (10-20%)
Kinney County,100.0,9.5,28.6,1,KINNEY,Very Low (<10%)
Kleberg County,69.73333333333333,11.9,20.366666666666664,3,KLEBERG,Low (10-20%)
Knox County,72.5,28.4,28.4,2,KNOX,Moderate (20-30%)
La Salle County,77.9,1.4,4.1,1,LA SALLE,Very Low (<10%)
Lamar County,44.475,28.799999999999997,34.475,4,LAMAR,Moderate (20-30%)
Lamb County,75.62,10.025,13.875,5,LAMB,Low (10-20%)
Lampasas County,45.0,16.7,24.200000000000003,2,LAMPASAS,Low (10-20%)
Lavaca County,53.625,21.5,39.699999999999996,4,LAVACA,Moderate (20-30%)
Lee County,83.2,9.45,23.7,3,LEE,Very Low (<10%)
Leon County,72.26,11.575,27.525,5,LEON,Low (10-20%)
Liberty County,62.71666666666667,8.059999999999999,20.68,6,LIBERTY,Very Low (<10%)
Limestone County,44.9,36.4,41.166666666666664,3,LIMESTONE,High (30-40%)
Lipscomb County,80.95,22.0,18.150000000000002,2,LIPSCOMB,Moderate (20-30%)
Live Oak County,70.3,37.0,25.55,2,LIVE OAK,High (30-40%)
Llano County,54.8,23.0,36.5,1,LLANO,Moderate (20-30%)
Lubbock County,70.14444444444445,19.522222222222222,32.12222222222223,9,LUBBOCK,Low (10-20%)
Lynn County,90.6,8.1,21.8,4,LYNN,Very Low (<10%)
Madison County,53.8,17.0,35.45,2,MADISON,Low (10-20%)
Marion County,30.3,13.0,30.4,1,MARION,Low (10-20%)
Martin County,95.6,14.1,15.75,2,MARTIN,Low (10-20%)
Mason County,92.3,25.0,43.8,1,MASON,Moderate (20-30%)
Matagorda County,45.525,8.333333333333334,18.65,4,MATAGORDA,Very Low (<10%)
Maverick County,93.2,6.0,16.4,1,MAVERICK,Very Low (<10%)
McCulloch County,88.95,12.4,18.5,2,MCCULLOCH,Low (10-20%)
McLennan County,63.76315789473684,19.383333333333336,32.421052631578945,19,MCLENNAN,Low (10-20%)
McMullen County,100.0,40.0,45.0,1,MCMULLEN,Very High (40%+)
Medina County,65.5,12.5,22.36,5,MEDINA,Low (10-20%)
Menard County,66.7,,16.7,1,MENARD,No Data
Midland County,67.4,13.85,32.1,2,MIDLAND,Low (10-20%)
Milam County,51.839999999999996,35.2,54.56,5,MILAM,High (30-40%)
Mills County,36.95,22.2,33.3,3,MILLS,Moderate (20-30%)
Mitchell County,55.0,14.133333333333333,19.066666666666666,3,MITCHELL,Low (10-20%)
Montague County,64.91666666666667,14.875,27.139999999999997,6,MONTAGUE,Low (10-20%)
Montgomery County,71.76666666666667,19.233333333333334,31.516666666666666,6,MONTGOMERY,Low (10-20%)
Moore County,71.4,11.0,14.65,2,MOORE,Low (10-20%)
Morris County,67.45,10.65,11.95,2,MORRIS,Low (10-20%)
Motley County,100.0,10.0,30.0,1,MOTLEY,Low (10-20%)
Nacogdoches County,74.075,14.742857142857144,33.957142857142856,8,NACOGDOCHES,Low (10-20%)
Navarro County,70.54285714285714,7.414285714285714,18.957142857142856,7,NAVARRO,Very Low (<10%)
Newton County,75.2,9.566666666666666,9.666666666666666,3,NEWTON,Very Low (<10%)
Nolan County,84.35,16.9,26.975,4,NOLAN,Low (10-20%)
Nueces County,65.52727272727273,17.772727272727273,27.0,11,NUECES,Low (10-20%)
