,County,Total_All_Schools_df0,TXST_df0,UT Austin_df0,Texas A&M_df0,Texas Tech_df0,Stephen F. Austin_df0,UTSA_df0,UNT_df0,UH_df0,Has_Data_df0,Dominant_School_df0,Dominant_Enrollment_df0,Dominant_Share_df0,TXST_Market_Share_df0,College_Ready_Rate_df0,TSI_Ready_Rate_df0,Participation_Rate_df0,High_Academic_Performance_df0,Low_TXST_Presence_df0,Large_Market_df0,High_Participation_df0,Prime_Target_df0,Academic_Score_df0,Market_Score_df0,TXST_Gap_Score_df0,Participation_Score_df0,Strategic_Opportunity_Score_df0,Opportunity_Tier_df0,TXST_df1,UT Austin_df1,Texas A&M_df1,Texas Tech_df1,Stephen F. Austin_df1,UTSA_df1,UNT_df1,UH_df1,Total_df1,TXST_Share_df1,Total_All_Schools_df2,TXST_df2,UT Austin_df2,Texas A&M_df2,Texas Tech_df2,Stephen F. Austin_df2,UTSA_df2,UNT_df2,UH_df2,Has_Data_df2,Dominant_School_df2,Dominant_Enrollment_df2,Dominant_Share_df2,TXST_Market_Share_df2,Total_All_Schools_df3,TXST_df3,UT Austin_df3,Texas A&M_df3,Texas Tech_df3,Stephen F. Austin_df3,UTSA_df3,UNT_df3,UH_df3,TXST_Market_Share_df3,Total_All_Schools_df4,TXST_df4,UT Austin_df4,Texas A&M_df4,Texas Tech_df4,Stephen F. Austin_df4,UTSA_df4,UNT_df4,UH_df4,Has_Data_df4,Dominant_School_df4,Dominant_Enrollment_df4,Dominant_Share_df4,TXST_Market_Share_df4,Is_Viable_Market_df4,Market_Size_Score_df4,Growth_Potential_df4,Breakable_Market_df4,Opportunity_Score_df4,Opportunity_Category_df4,County_Name_df5,Participation_Rate_df5,College_Ready_Rate_df5,TSI_Ready_Rate_df5,Year_df5,Participation_Level_df5,County_Name_df6,College_Ready_Rate_df6,TSI_Ready_Rate_df6,Participation_Rate_df6,Year_df6,TXST_df7,UT Austin_df7,Texas A&M_df7,Texas Tech_df7,Stephen F. Austin_df7,UTSA_df7,UNT_df7,UH_df7,Total_df7,TXST_Share_df7,Opportunity_Score_df7,Total_All_Schools_df8,TXST_df8,UT Austin_df8,Texas A&M_df8,Texas Tech_df8,Stephen F. Austin_df8,UTSA_df8,UNT_df8,UH_df8,Has_Data_df8,Dominant_School_df8,Dominant_Enrollment_df8,Dominant_Share_df8,TXST_Market_Share_df8,College_Ready_Rate_df8,TSI_Ready_Rate_df8,Participation_Rate_df8,High_Academic_Performance_df8,Low_TXST_Presence_df8,Large_Market_df8,High_Participation_df8,Prime_Target_df8,Academic_Score_df8,Market_Score_df8,TXST_Gap_Score_df8,Participation_Score_df8,Strategic_Opportunity_Score_df8,Opportunity_Tier_df8,TXST_Enrollment_df9,Total_Enrollment_df9,TXST_Market_Share_df9
0,ANDERSON,1229.0,0.0,0.0,41.0,0.0,23.0,0.0,0.0,0.0,True,Texas A&M,41.0,3.336045565500407,0.0,13.328571428571427,37.9,64.15714285714286,False,True,False,False,False,26.65714285714286,59.83678910454822,100.0,64.15714285714286,55.0296081599359,Tier 5: Maintain/Monitor,0.0,0.0,41.0,0.0,23.0,0.0,0.0,0.0,64.0,0.0,1229.0,0.0,0.0,41.0,0.0,23.0,0.0,0.0,0.0,True,Texas A&M,41.0,3.336045565500407,0.0,1229.0,0.0,0.0,41.0,0.0,23.0,0.0,0.0,0.0,0.0,1229.0,0.0,0.0,41.0,0.0,23.0,0.0,0.0,0.0,True,Texas A&M,41.0,3.336045565500407,0.0,True,59.83678910454822,100.0,96.6639544344996,79.25118543917402,🔥 TOP PRIORITY,Anderson County,64.15714285714286,13.328571428571427,37.9,2024.0,Moderate (60-75%),Anderson County,13.328571428571427,37.9,64.15714285714286,2024.0,,,,,,,,,,,,1229.0,0.0,0.0,41.0,0.0,23.0,0.0,0.0,0.0,True,Texas A&M,41.0,3.336045565500407,0.0,13.328571428571427,37.9,64.15714285714286,False,True,False,False,False,26.65714285714286,59.83678910454822,100.0,64.15714285714286,55.0296081599359,Tier 5: Maintain/Monitor,,,
1,ANDREWS,562.0,5.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,True,Texas Tech,53.0,9.430604982206406,0.8896797153024912,17.2,33.6,47.1,False,True,False,False,False,34.4,53.26428638332552,99.11032028469752,47.1,54.27134997193716,Tier 5: Maintain/Monitor,5.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,63.0,7.936507936507936,562.0,5.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,True,Texas Tech,53.0,9.430604982206406,0.8896797153024912,562.0,5.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,0.8896797153024912,562.0,5.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,True,Texas Tech,53.0,9.430604982206406,0.8896797153024912,True,53.26428638332552,94.77,90.5693950177936,73.17702219522148,🎯 HIGH OPPORTUNITY,Andrews County,47.1,17.2,33.6,2024.0,Low (40-60%),Andrews County,17.2,33.6,47.1,2024.0,,,,,,,,,,,,562.0,5.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,True,Texas Tech,53.0,9.430604982206406,0.8896797153024912,17.2,33.6,47.1,False,True,False,False,False,34.4,53.26428638332552,99.11032028469752,47.1,54.27134997193716,Tier 5: Maintain/Monitor,5.0,562.0,0.8896797153024912
2,ANGELINA,3378.0,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,True,Stephen F. Austin,505.0,14.949674363528716,1.4801657785671996,16.083333333333332,33.68571428571429,50.62857142857143,False,True,True,False,False,32.166666666666664,68.33587026479658,98.5198342214328,50.62857142857143,58.13425173324934,Tier 4: Volume Play,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,768.0,6.510416666666667,3378.0,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,True,Stephen F. Austin,505.0,14.949674363528716,1.4801657785671996,3378.0,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,1.4801657785671996,3378.0,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,True,Stephen F. Austin,505.0,14.949674363528716,1.4801657785671996,True,68.33587026479658,91.29,85.05032563647129,78.56500025969255,🔥 TOP PRIORITY,Angelina County,50.62857142857143,16.083333333333332,33.68571428571429,2024.0,Low (40-60%),Angelina County,16.083333333333332,33.68571428571429,50.62857142857143,2024.0,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,768.0,6.510416666666667,71800.0,3378.0,50.0,37.0,157.0,11.0,505.0,0.0,0.0,8.0,True,Stephen F. Austin,505.0,14.949674363528716,1.4801657785671996,16.083333333333332,33.68571428571429,50.62857142857143,False,True,True,False,False,32.166666666666664,68.33587026479658,98.5198342214328,50.62857142857143,58.13425173324934,Tier 4: Volume Play,50.0,3378.0,1.4801657785671996
3,ARANSAS,471.0,34.0,0.0,29.0,0.0,5.0,29.0,0.0,0.0,True,TXST,34.0,7.218683651804671,7.218683651804671,7.2,19.3,94.8,False,True,False,True,False,14.400000000000002,51.78155887626199,92.78131634819532,94.8,49.33073093251767,Tier 5: Maintain/Monitor,34.0,0.0,29.0,0.0,5.0,29.0,0.0,0.0,97.0,35.051546391752574,471.0,34.0,0.0,29.0,0.0,5.0,29.0,0.0,0.0,True,TXST,34.0,7.218683651804671,7.218683651804671,471.0,34.0,0.0,29.0,0.0,5.0,29.0,0.0,0.0,7.218683651804671,471.0,34.0,0.0,29.0,0.0,5.0,29.0,0.0,0.0,True,TXST,34.0,7.218683651804671,7.218683651804671,False,51.78155887626199,57.54,92.78131634819532,0.0,⭐ TXST Territory,Aransas County,94.8,7.2,19.3,2024.0,Very High (90-100%),Aransas County,7.2,19.3,94.8,2024.0,,,,,,,,,,,,471.0,34.0,0.0,29.0,0.0,5.0,29.0,0.0,0.0,True,TXST,34.0,7.218683651804671,7.218683651804671,7.2,19.3,94.8,False,True,False,True,False,14.400000000000002,51.78155887626199,92.78131634819532,94.8,49.33073093251767,Tier 5: Maintain/Monitor,34.0,471.0,7.218683651804671
4,ARCHER,506.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,True,Texas Tech,58.0,11.462450592885377,0.0,20.566666666666663,35.9,85.2,False,True,False,True,False,41.133333333333326,52.38315901336949,100.0,85.2,60.688281037344176,Tier 5: Maintain/Monitor,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,58.0,0.0,506.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,True,Texas Tech,58.0,11.462450592885377,0.0,506.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,506.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,True,Texas Tech,58.0,11.462450592885377,0.0,True,52.38315901336949,100.0,88.53754940711462,73.89908938810767,🎯 HIGH OPPORTUNITY,Archer County,85.2,20.566666666666663,35.9,2024.0,High (75-90%),Archer County,20.566666666666663,35.9,85.2,2024.0,,,,,,,,,,,,506.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,True,Texas Tech,58.0,11.462450592885377,0.0,20.566666666666663,35.9,85.2,False,True,False,True,False,41.133333333333326,52.38315901336949,100.0,85.2,60.688281037344176,Tier 5: Maintain/Monitor,,,
5,ARMSTRONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Armstrong County,100.0,13.6,36.4,2024.0,Very High (90-100%),Armstrong County,13.6,36.4,100.0,2024.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ARMSTRONG COU,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,,,,False,True,False,False,False,0.0,24.76338488635713,100.0,0.0,27.42901546590714,No Academic Data,,,,,,,,,,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,No Data,0.0,0.0,0.0,False,24.76338488635713,100.0,100.0,0.0,⚫ Small Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ATASCOSA,1345.0,43.0,0.0,57.0,41.0,0.0,103.0,0.0,0.0,True,UTSA,103.0,7.657992565055761,3.197026022304833,8.125,21.975,58.78,False,True,False,False,False,16.25,60.59474404374969,96.80297397769516,58.78,49.917018008663945,Tier 5: Maintain/Monitor,43.0,0.0,57.0,41.0,0.0,103.0,0.0,0.0,244.0,17.62295081967213,1345.0,43.0,0.0,57.0,41.0,0.0,103.0,0.0,0.0,True,UTSA,103.0,7.657992565055761,3.197026022304833,1345.0,43.0,0.0,57.0,41.0,0.0,103.0,0.0,0.0,3.197026022304833,1345.0,43.0,0.0,57.0,41.0,0.0,103.0,0.0,0.0,True,UTSA,103.0,7.657992565055761,3.197026022304833,True,60.59474404374969,81.19,92.34200743494424,73.1227735088637,🎯 HIGH OPPORTUNITY,Atascosa County,58.78,8.125,21.975,2024.0,Low (40-60%),Atascosa County,8.125,21.975,58.78,2024.0,,,,,,,,,,,,1345.0,43.0,0.0,57.0,41.0,0.0,103.0,0.0,0.0,True,UTSA,103.0,7.657992565055761,3.197026022304833,8.125,21.975,58.78,False,True,False,False,False,16.25,60.59474404374969,96.80297397769516,58.78,49.917018008663945,Tier 5: Maintain/Monitor,43.0,1345.0,3.197026022304833
8,AUSTIN,1228.0,41.0,0.0,130.0,11.0,0.0,7.0,0.0,0.0,True,Texas A&M,130.0,10.586319218241044,3.338762214983713,18.433333333333337,37.63333333333333,69.10000000000001,False,True,False,False,False,36.866666666666674,59.82994874483944,96.66123778501628,69.10000000000001,58.937898847121765,Tier 5: Maintain/Monitor,41.0,0.0,130.0,11.0,0.0,7.0,0.0,0.0,189.0,21.693121693121693,1228.0,41.0,0.0,130.0,11.0,0.0,7.0,0.0,0.0,True,Texas A&M,130.0,10.586319218241044,3.338762214983713,1228.0,41.0,0.0,130.0,11.0,0.0,7.0,0.0,0.0,3.338762214983713,1228.0,41.0,0.0,130.0,11.0,0.0,7.0,0.0,0.0,True,Texas A&M,130.0,10.586319218241044,3.338762214983713,True,59.82994874483944,80.36,89.41368078175896,71.90571052877152,🎯 HIGH OPPORTUNITY,Austin County,69.10000000000001,18.433333333333334,37.63333333333333,2024.0,Moderate (60-75%),Austin County,18.433333333333334,37.63333333333333,69.10000000000001,2024.0,,,,,,,,,,,,1228.0,41.0,0.0,130.0,11.0,0.0,7.0,0.0,0.0,True,Texas A&M,130.0,10.586319218241044,3.338762214983713,18.433333333333337,37.63333333333333,69.10000000000001,False,True,False,False,False,36.866666666666674,59.82994874483944,96.66123778501628,69.10000000000001,58.937898847121765,Tier 5: Maintain/Monitor,41.0,1228.0,3.338762214983713
9,BAILEY,177.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,True,Texas Tech,16.0,9.03954802259887,0.0,11.7,16.9,92.8,False,True,False,True,False,23.4,43.579948968751765,100.0,92.8,51.71398469062553,Tier 5: Maintain/Monitor,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0,177.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,True,Texas Tech,16.0,9.03954802259887,0.0,177.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,True,Texas Tech,16.0,9.03954802259887,0.0,False,43.579948968751765,100.0,90.96045197740114,0.0,⚫ Small Market,Bailey County,92.8,11.7,16.9,2024.0,Very High (90-100%),Bailey County,11.7,16.9,92.8,2024.0,,,,,,,,,,,,177.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,True,Texas Tech,16.0,9.03954802259887,0.0,11.7,16.9,92.8,False,True,False,True,False,23.4,43.579948968751765,100.0,92.8,51.71398469062553,Tier 5: Maintain/Monitor,,,
