District,DistName,County,CntyName,Region,RegnName,Grads_Mskd,Exnees_Mskd,Part_Rate,Crit_Mskd,Above_Crit_Rate,TSI_Both_Mskd,Above_TSI_Both_Rate,Year
1902,Cayuga ISD,1,Anderson County,7,Kilgore,<50,<50,100.0,<25,2.7,<25,24.3,2024
1903,Elkhart ISD,1,Anderson County,7,Kilgore,<75,<50,36.2,<25,8.0,<25,32.0,2024
1904,Frankston ISD,1,Anderson County,7,Kilgore,<50,<50,100.0,<25,8.3,<25,16.7,2024
1906,Neches ISD,1,Anderson County,7,Kilgore,<25,<25,63.2,<25,8.3,<25,66.7,2024
1907,Palestine ISD,1,Anderson County,7,Kilgore,<250,<100,34.9,<50,32.1,<50,60.5,2024
1908,Westwood ISD,1,Anderson County,7,Kilgore,<100,<75,53.7,<25,15.7,<25,19.6,2024
1909,Slocum ISD,1,Anderson County,7,Kilgore,<25,<25,61.1,<25,18.2,<25,45.5,2024
2901,Andrews ISD,2,Andrews County,18,Midland,259,122,47.1,21,17.2,41,33.6,2024
3801,Pineywoods Community Academy,3,Angelina County,7,Kilgore,<75,<25,29.8,<25,5.9,<25,17.6,2024
3902,Hudson ISD,3,Angelina County,7,Kilgore,178,89,50.0,31,34.8,49,55.1,2024
3903,Lufkin ISD,3,Angelina County,7,Kilgore,499,431,86.4,59,13.7,97,22.5,2024
3904,Huntington ISD,3,Angelina County,7,Kilgore,<150,<50,31.2,<25,25.6,<25,53.8,2024
3905,Diboll ISD,3,Angelina County,7,Kilgore,<150,<75,56.7,<25,2.8,<25,13.9,2024
3906,Zavalla ISD,3,Angelina County,7,Kilgore,<25,<25,29.4,<25,,<25,40.0,2024
3907,Central ISD,3,Angelina County,7,Kilgore,<125,<75,70.9,<25,13.7,<25,32.9,2024
4901,Rockport-Fulton ISD,4,Aransas County,2,Corpus Christi,<200,<200,94.8,<25,7.2,<50,19.3,2024
5901,Archer City ISD,5,Archer County,9,Wichita Falls,<50,<50,100.0,<25,8.3,<25,11.1,2024
5902,Holliday ISD,5,Archer County,9,Wichita Falls,89,60,67.4,22,36.7,38,63.3,2024
5904,Windthorst ISD,5,Archer County,9,Wichita Falls,<50,<50,88.2,<25,16.7,<25,33.3,2024
6902,Claude ISD,6,Armstrong County,16,Amarillo,<25,<25,100.0,<25,13.6,<25,36.4,2024
7901,Charlotte ISD,7,Atascosa County,20,San Antonio,<50,<25,65.5,<25,,<25,,2024
7902,Jourdanton ISD,7,Atascosa County,20,San Antonio,<100,<100,81.4,<25,10.1,<25,24.1,2024
7904,Lytle ISD,7,Atascosa County,20,San Antonio,<125,<50,24.8,<25,3.8,<25,15.4,2024
7905,Pleasanton ISD,7,Atascosa County,20,San Antonio,<225,<150,66.8,<25,11.7,<75,35.9,2024
7906,Poteet ISD,7,Atascosa County,20,San Antonio,<150,<75,55.4,<25,6.9,<25,12.5,2024
8901,Bellville ISD,8,Austin County,6,Huntsville,174,104,59.8,27,26.0,51,49.0,2024
8902,Sealy ISD,8,Austin County,6,Huntsville,<200,<125,55.3,<25,17.4,<50,38.5,2024
8903,Brazos ISD,8,Austin County,6,Huntsville,<75,<75,92.2,<25,11.9,<25,25.4,2024
9901,Muleshoe ISD,9,Bailey County,17,Lubbock,<100,<100,92.8,<25,11.7,<25,16.9,2024
10901,Medina ISD,10,Bandera County,20,San Antonio,<25,<25,27.8,<25,40.0,<25,40.0,2024
10902,Bandera ISD,10,Bandera County,20,San Antonio,<175,<175,91.1,<25,11.7,<50,18.8,2024
11901,Bastrop ISD,11,Bastrop County,13,Austin,"1,017",817,80.3,63,7.7,136,16.6,2024
11902,Elgin ISD,11,Bastrop County,13,Austin,<425,<400,89.8,<25,3.9,<50,8.7,2024
11904,Smithville ISD,11,Bastrop County,13,Austin,<150,<125,88.6,<25,11.1,<50,26.5,2024
11905,McDade ISD,11,Bastrop County,13,Austin,<25,<25,100.0,<25,4.2,<25,20.8,2024
12901,Seymour ISD,12,Baylor County,9,Wichita Falls,46,33,71.7,7,21.2,8,24.2,2024
